Apar,Tl,Cc,A,ptot
1448.3,25.31,98.4,3.51,96500
1449.6,25.31,140.6,7.23,96500
1441.2,25.29,218.7,13.13,96500
1496.5,25.28,224.5,14.73,96500
1505.6,25.27,322.7,21.53,96500
1522.7,25.32,502.6,27.59,96500
